#POSITIVE_LEXICON	STRENGTH-ASSIGNED
ballroom	0.3
ballsy	0.8
balm	0.2
balminess	0.3
balsam	0.2
banging 	0.7
bangtidy	0.6
bankable	0.3
banquet	0.2
banter	0.3
bantering	0.2
baptism	0.2
baptismal	0.4
baptize	0.3
baron	0.6
baronial	0.7
bask	0.4
basketball	0.3
bastion	0.2
bb	0.6
bball	0.6
bbc	0.7
bbe	0.6
bby	0.6
bday	0.9
beach	0.5
beacon	0.1
beaming	0.7
beamish	0.7
beamy	0.3
beans	0.4
beast	0.5
beatific	0.6
beatification	0.6
beatify	0.6
beauteous	0.7
beauties	0.8
beautification	0.9
beautiful	1
beautifullly	1
beautifully	1
beautify	0.7
beauty	0.9
bebe	1
beckon	0.2
beckoning	0.3
beckons	0.2
bed	0.1
beefy	0.5
beer	0.2
befit	0.5
behave	0.2
bejewel	0.7
believable	0.1
believably	0.3
believing	0.1
beloved	0.9
benefactor	0.2
benefactors	0.4
benefic	0.3
beneficence	0.4
beneficent	0.5
beneficial	0.7
beneficially	0.7
beneficiary	0.4
benefit	0.4
benefitted	0.5
benefitting	0.5
benevolence	0.5
benevolent	0.5
benevolently	0.5
benign	0.1
benignant	0.2
benignity	0.2
benignly	0.2
berth	0.2
best	0.7
best-drawn	0.4
bestest	1
bestfriend	1
bestfriends	1
best-handling	0.7
bestie	1
besties	1
bestow	0.4
best-performing	1
best-seller	1
bestselling	1
besty	0.8
betrothal	0.4
betrothed	0.2
better	0.4
better-feeling	0.4
bettering	0.5
better-like	0.5
betterment	0.6
better-than-before	0.6
better-than-expected	1
beutifully	1
beverage	0.1
bewitching	0.8
bf	0.6
bff	1
bffs	1
bgt	1
bible	0.1
biblical	0.1
big-hearted	0.7
bigheartedness	0.8
big-time	0.8
bilingual	0.2
billionaire	0.2
bing	0.2
bingo	0.7
birthday	0.5
blameless	0.1
blamelessness	0.1
blarney	0.1
bless	0.9
blessed	0.8
blessedly	0.8
blessedness	0.8
blesses	0.7
blessing	0.8
blessings	0.7
bling	0.7
bliss	1
blissful	1
blissfully	1
blithe	0.1
bloom	0.4
bloomer	0.2
blooming	0.2
blossom	0.2
bluffly	0.1
bluffness	0.1
bluntness	0.1
board	0.1
bodyguard	0.1
boffo	0.8
boi	0.5
bold	0.5
boldly	0.4
boldness	0.6
bom	0.6
bombproof	0.1
bombshell	0.5
bonanza	0.2
bond	0.2
bondable	0.4
bonding	0.4
bonfire	0.4
bonne	0.2
bonus	0.9
bonuses	0.6
boobs	0.8
bookable	0.6
bookish	0.2
book-lined	0.4
bookshop	0.1
bookworm	0.2
boon	0.4
boost	0.4
boosted	0.2
booster	0.4
boosts	0.2
borderless	0.3
borrowed	0.2
boss	0.1
boundless	0.4
bountied	0.4
bountiful	0.5
bounty	0.5
bouquet	0.4
bow	0.2
boyfriend	0.2
brainiest	0.5
brains	0.2
brainy	0.6
brand-spankin	0.2
brave	0.7
bravely	0.6
braveness	0.6
bravery	0.4
bravo	0.7
bravura	0.7
breadwinner	0.2
breathlessly	0.6
breathlessness	0.2
breath-taking	1
breathtakingly	0.9
breeziness	0.1
breezy	0.1
bride	0.4
bridegroom	0.2
bridesmaid	0.2
bright	0.6
brighten	0.5
brighter	0.4
brightest	0.9
brightly	0.5
brightness	0.6
brilliance	0.9
brilliances	1
brilliant	1
brilliantly	0.4
brisk	0.1
brocade	0.1
brotherhood	0.3
brotherly	0.6
brought	0.1
brownie	0.2
bubbly	0.3
buck	0.1
buddy	0.5
budget-conscious	0.4
buff	0.6
buffy	0.4
building	0.1
built-in	0.4
built-to-last	0.6
bullish	0.5
buoy	0.1
burglarproof	0.1
burlesque	0.1
buss	0.2
butterfly	0.2
buzz	0.3
cabernet	0.2
cabinet	0.1
cafe	0.2
cajole	0.3
cake	0.3
cakewalk	0.2
calligrapher	0.1
calligraphic	0.3
calligraphy	0.2
callin	0.2
callipygian	0.4
calm	0.2
calmed	0.2
calmness	0.4
calms	0.2
candescent	0.2
candid	0.2
candidate	0.4
candied	0.2
candy	0.6
capabilities	0.4
capable	0.5
capably	0.5
capacious	0.2
capaciousness	0.2
cappuccino	0.1
captain	0.4
captivating	1
captivatingly	1
caramel	0.2
carat	0.3
cared	0.7
careerism	0.3
carefree	0.3
carefreeness	0.2
careful	0.1
carefully	0.2
carefulness	0.2
cares	0.3
caress	0.4
caressing	0.4
caretaker	0.2
caring	0.4
carol	0.5
caroling	0.5
carrying	0.2
cartoon	0.2
cartoonist	0.2
cascade	0.2
cashable	0.5
cashback	0.3
cashbacks	0.3
casual	0.1
casualness	0.1
catchy	0.5
categorical	0.1
cater	0.3
catwalk	0.2
ceaseless	0.1
celebrate	0.6
celebrated	0.7
celebrating	0.6
celebration	0.6
celebrations	0.7
celebrity	0.7
celebs	0.6
celerity	0.4
celestial	0.2
cello	0.2
central	0.3
centrally	0.2
centurion	0.1
ceremonial	0.3
ceremonious	0.3
ceremony	0.2
certainty	0.1
certifiable	0.6
certificate	0.2
certificated	0.4
certification	0.4
certified	0.5
certify	0.2
chai	0.6
chairman	0.3
chairwoman	0.3
champ	0.9
champion	0.9
championed	0.4
champions	0.8
championship	0.4
chances	0.1
chant	0.3
chaperon	0.2
chaperone	0.2
character-driven	0.9
charisma	0.7
charismatic	1
charitable	0.2
charitableness	0.2
charitably	0.2
charity	0.1
charm	0.6
charmed	0.5
charming	1
charmingly	1
chateau	0.2
chatelaine	0.2
chattering	0.2
chatting	0.4
cheaper	0.3
cheapest	0.4
checklist	0.1
checkmate	0.2
cheer	0.8
cheered	0.9
cheerer	0.6
cheerful	0.9
cheerfully	0.9
cheerfulness	0.8
cheerily	0.8
cheering	0.8
cheers	0.9
cheery	0.9
cherished	1
cherishes	0.5
cherishing	0.9
cherry	0.2
cherubic	0.3
chess	0.1
chewable	0.1
chewy	0.2
chic	0.6
chica	0.5
chick	0.2
chicly	0.7
chieftain	0.3
childrens	0.4
chillax	0.5
chilled	1
chillen	0.6
chillin	0.4
chillout	0.3
chipper	0.1
chirp	0.2
chisel	0.1
chiseled	0.5
chivalrous	0.8
chivalry	0.6
choir	0.4
choreograph	0.2
choreographer	0.2
chorus	0.4
chowder	0.1
christian	0.2
christianly	0.2
christlike	1
christmas	0.4
chronicle	0.1
chuckle	0.4
chuckle-worthy	0.7
chula	0.5
chum	0.3
chumminess	0.2
chummy	0.2
church	0.2
churchgoer	0.2
churchgoing	0.2
churchly	0.2
cider	0.2
cinch	0.2
cinderella	0.5
cindy	0.2
circumvention	0.1
circus	0.3
citizen	0.2
civil	0.4
civility	0.4
civilization	0.1
civilize	0.2
civilized	0.5
civilly	0.3
claimant	0.2
clairvoyance	0.2
clairvoyant	0.2
clap	0.4
clapper	0.1
clapperboard	0.1
claret	0.2
clarification	0.1
clarifies	0.5
clarity	0.5
class	0.1
classic	0.1
classical	0.4
classically	0.3
classics	0.3
classy	0.8
clean	0.4
cleanable	0.2
cleaned	0.5
cleanest	0.7
cleaning	0.3
cleanliness	0.6
cleanly	0.4
cleanness	0.4
cleanse	0.1
cleansing	0.1
cleanup	0.1
clear	0.2
clearance	0.2
clear-bodied	0.3
cleared	0.3
clearer	0.4
clearing	0.1
clearly	0.4
clears	0.4
clemency	0.2
clement	0.2
cleopatra	0.4
clerical	0.1
clever	0.6
cleverly	0.7
cleverness	0.6
cliff-hanging	0.8
climactic	0.3
climate-control	0.2
climax	0.5
clothdiapers	0.2
clothe	0.1
cloudless	0.2
clout	0.4
cloyingly	0.3
cmt	0.3
cnn	0.2
coalition	0.1
coax	0.3
cocktail	0.3
cocoa	0.1
coexist	0.2
coexistence	0.1
coffe	0.8
cogent	0.5
cognizance	0.3
cognizant	0.3
coherent	0.2
coherently	0.5
cohesive	0.1
cohort	0.2
collaborate	0.2
collaboration	0.4
colleague	0.1
collectively	0.3
colonel	0.3
colorful	0.6
colorfully	0.6
color-matched	0.3
comedian	0.2
comedic	0.5
comedically	0.3
comedy	0.2
comeliness	0.6
comely	0.3
comestible	0.2
comfort	0.4
comfortable	0.8
comfortably	0.5
comforter	0.1
comforting	0.1
comforts	0.1
comfy	0.9
comic	0.2
comical	0.4
comicality	0.2
comically	0.4
commandant	0.2
commemoration	0.2
commemorative	0.1
commendably	0.2
commendation	0.1
commended	0.2
commensurately	0.1
commentator	0.1
commit	0.2
commits	0.2
committed	0.4
committedness	0.2
committing	0.1
commodious	0.2
commodore	0.3
common	0.2
commonality	0.2
commonsense	0.2
commonsensible	0.5
commonsensibly	0.2
commonsensical	0.2
commonwealth	0.5
commutation	0.2
compact	0.2
compactly	0.1
companion	1
companionate	1
companionship	0.8
company	0.1
comparable	0.2
comparably	0.1
compassion	1
compassionate	0.7
compatible	0.3
compatriot	0.2
compel	0.1
compelled	0.3
compelling	0.1
compensatory	0.4
competence	0.4
competencies	0.5
competent	0.7
competently	0.7
competitiveness	0.4
complacency	0.2
complaisance	0.3
complaisant	0.4
complement	0.5
complemental	0.4
complementary	0.6
complemented	0.3
complements	0.4
complete	0.2
completeness	0.3
completing	0.3
compliance	0.5
compliant	0.1
compliment	0.4
complimentary	0.2
complimented	0.5
compliments	0.8
comply	0.2
composed	0.5
composer	0.2
composure	0.1
comprehend	0.2
comprehensibility	0.2
comprehensible	0.2
comprehension	0.4
comprehensive	0.4
comprehensiveness	0.4
compromise	0.2
compromises	0.3
comrade	0.5
comradely	0.5
comrades	0.4
concentric	0.1
conciliate	0.2
conciliated	0.1
conciliating	0.3
concise	0.3
concur	0.3
condign	0.5
condone	0.1
conducive	0.1
conductivity	0.5
confederate	0.2
confederation	0.3
confidant	0.2
confide	0.3
confidence	0.7
confident	0.9
confidently	0.9
configurable	0.3
confirmable	0.4
confirmation	0.3
conform	0.2
conformable	0.2
conformably	0.2
conformance	0.4
conformist	0.2
conformity	0.2
confute	0.2
congrats	0.9
congratulate	0.6
congratulation	0.8
congratulations	1
congratulatory	0.8
congregate	0.4
congruence	0.1
conjunction	0.1
conjure	0.3
connect	0.3
conquest	0.2
conscientious	0.2
consciously	0.2
consciousness	0.2
consensus	0.5
consent	0.2
consentaneous	0.2
consenting	0.1
consents	0.3
considerate	0.6
consign	0.3
consistency	0.4
consistent	0.4
consistently	0.8
consolation	0.1
console	0.1
consolidate	0.2
consolidated	0.2
consolidation	0.2
consolidative	0.2
consonant	0.1
conspicuousness	0.1
constancy	0.2
constructive	0.4
consummate	0.6
consummated	0.6
contemplation	0.7
contented	0.5
contentedness	0.5
contentment	0.5
continence	0.1
continuity	0.1
contour	0.3
contribute	0.2
contribution	0.1
contributor	0.1
convene	0.3
convenience	0.4
convenient	0.6
conveniently	0.6
conversational	0.1
convience	0.5
convient	0.8
convince	0.3
convinces	0.3
cookie	0.2
cool	0.9
cooler-headed	0.2
coolest	1
cool-looking	0.9
coolness	0.9
coolstuff	1
coool	1
cooperate	0.2
cooperating	0.4
cooperation	0.3
cooperative	0.4
cooperatively	0.3
coordinated	0.2
coordinately	0.2
copacetic	0.3
copernican	0.5
copious	0.4
cordial	0.2
cordless	0.4
cornucopia	0.3
corporation	0.1
corporeal	0.4
correct	0.6
correctness	0.4
correspondence	0.1
corroborate	0.3
cosmetic	0.3
cost-effective	0.5
cost-saving	0.6
cosy	0.9
council	0.1
counsel	0.1
countess	0.2
couple	0.2
courage	0.8
courageous	1
courageousness	0.9
courteous	0.8
courtesy	0.8
courtly	0.1
courtship	0.1
couture	0.3
couturier	0.3
cove	0.2
coveted	0.3
coy	0.2
coying	0.2
coyness	0.2
coziness	0.6
cozy	0.8
crackberry	0.2
crackin	1
cradle	0.2
craftily	0.8
craftsman	0.4
craigslist	0.2
crave	0.4
craved	0.3
craving	0.3
craze	0.4
creative	0.8
creatively	0.8
creativity	0.8
credential	0.2
credibility	0.4
credible	0.4
credibly	0.4
credit	0.2
creditable	0.4
crescendo	0.3
crisp	0.4
crisply	0.6
crispness	0.4
cross-platform	0.3
crown	0.5
crowned	0.8
crowning	0.8
cruise	0.2
crusader	0.2
crystal	0.2
crystalline	0.2
culinary	0.2
culminate	0.2
cupid	0.4
curable	0.3
curative	0.3
cure	0.1
cure-all	0.7
cured	0.5
curiously	0.2
customary	0.5
cute	0.9
cutely	0.9
cuteness	1
cuter	1
cutest	1
cutie	1
cut-rate	0.2
cutters	0.2
cya	0.5
daintily	0.4
daintiness	0.4
dainty	0.4
daisy	0.3
dame	0.4
damngood	1
damsel	0.4
dance	0.5
danceable	0.5
danced	1
dancer	0.2
dancin	0.7
dandelion	0.3
dandy	0.6
danke	0.2
darling	0.8
dashing	0.6
daughter	0.1
dauntless	0.6
dauntlessness	0.9
dawg	0.6
daydream	0.4
daydreamer	0.1
dayyy	0.4
dazzle	0.4
dazzled	1
dazzling	0.8
dazzlingly	0.8
dead-cheap	0.2
dear	0.4
dearly	0.6
decency	0.4
decent	0.5
decently	0.5
decent-sized	0.4
decipher	0.1
decisive	0.3
decisiveness	0.3
declaratory	0.2
decolonization	0.2
decolonize	0.2
decorate	0.4
decorating	0.6
decoration	0.4
decorative	0.5
decorativeness	0.4
decorator	0.4
decorous	0.6
decorously	0.6
decorum	0.4
dedicated	0.4
dedication	0.5
defeating	0.1
defended	0.3
defenders	0.2
defending	0.1
definately	0.4
definitely	0.2
definitively	0.2
deft	0.6
deginified	0.5
deh	0.4
deification	0.4
deliberate	0.4
delicately	0.3
delicious	1
deliciously	1
delight	1
delighted	1
delightful	1
delightfully	1
delightfulness	1
delighting	1
delish	1
deliverance	0.2
delivery	0.1
deluxe	0.5
demigod	0.4
democratic	0.4
demonstrability	0.2
demonstrable	0.2
demystify	0.3
dependability	0.3
dependable	0.3
dependably	0.2
depending	0.2
deserved	0.2
deservedly	0.4
desirable	0.9
desire	0.4
desired	0.2
desiring	0.4
desirous	0.6
destination	0.3
destine	0.2
destined	0.3
destinies	0.2
detailed	0.4
detect	0.1
detection	0.1
determination	0.6
determined	0.4
devote	0.3
devoted	0.4
devotee	0.4
devotion	0.3
devotional	0.3
devout	0.5
devoutly	0.5
devoutness	0.5
dexterity	0.4
dexterous	0.5
dexterously	0.4
dextrous	0.4
diamond	0.3
dictionary	0.1
diff	0.2
diggin	1
digital	0.1
digitally	0.1
digitaly	0.1
dignified	0.7
dignify	0.4
dignifying	0.8
dignity	0.8
diligent	0.2
diligently	0.2
dilligence	0.2
dinner	0.2
dior	0.2
diploma	0.4
diplomacy	0.4
directness	0.2
dirt-cheap	0.4
discern	0.4
discernability	0.2
discipline	0.5
discreet	0.2
discretionary	0.3
discriminatingly	0.2
discuss	0.1
dishwasher-safe	0.9
disseminate	0.1
distinct	0.2
distinction	0.3
distinctive	0.7
distinctively	0.4
distinctly	0.2
distinctness	0.2
distinguishable	0.1
distinguished	0.2
ditty	0.3
diverse	0.4
diversified	0.3
diversity	0.2
divination	0.4
divine	0.8
divinely	0.6
divinity	0.6
djing	0.6
docile	0.1
docility	0.1
doer	0.1
do-it-yourself	0.1
dom	0.2
don	0.2
donated	0.2
donating	0.2
donation	0.2
dope	0.8
doss	0.2
dosser	0.2
dote	0.2
double-duty	0.1
dove	0.4
down-home	0.1
drama-free	0.7
dream	0.5
dreamlike	0.5
dreams	0.4
dreamt	0.4
dreamy	0.8
dressy	0.6
drooling	0.7
drying	0.2
dual-stage	0.3
dumbfounding	0.2
dummy-proof	0.3
dunkin	0.6
durability	0.3
dutiful	0.4
dutifully	0.4
dutifulness	0.4
eager	0.4
eagerly	0.2
eagerness	0.4
eargasm	1
earl	0.2
earn	0.2
earnest	0.4
earnestness	0.3
earthly	0.4
earthy	0.2
ease	0.2
eased	0.5
easement	0.3
eases	0.4
easier	0.2
easiest	0.2
easily	0.2
easiness	0.2
easing	0.2
easter	0.2
easygoing	0.4
easy-to-read	0.8
ebullience	0.3
ebullient	0.6
ebulliently	0.4
economic	0.4
economically	0.5
economize	0.2
ecstasies	1
ecstasy	1
ecstatic	1
ecstatically	1
ecumenic	0.3
ecumenism	0.3
eden	0.6
edification	0.2
educable	0.2
educated	0.7
educational	0.4
eee	0.4
effective	0.4
effectively	0.3
effectiveness	0.4
efficacious	0.4
efficaciously	0.4
efficacy	0.4
efficiency	0.2
efficient	0.5
efficiently	0.4
effloresce	0.4
effort	0.1
effortless	0.4
effortlessly	0.4
effortlessness	0.4
effusive	0.3
effusively	0.3
effusiveness	0.4
egalitarian	0.2
ejaculation	0.3
elaboration	0.2
elan	0.2
elastic	0.2
elate	0.3
elated	0.8
elatedly	0.8
elation	0.3
electrical	0.2
electrically	0.3
electricity	0.1
electrify	0.8
electronically	0.2
elegance	0.9
elegant	1
elegantly	1
elevate	0.3
eligible	0.3
elite	0.3
eloquence	0.5
eloquent	0.5
eloquently	0.7
elucidate	0.2
emancipate	0.2
emancipation	0.2
embellish	0.3
embezzle	0.2
emend	0.1
emendation	0.1
emerald	0.2
eminently	0.3
emir	0.2
emmy	0.4
emolument	0.2
empathetic	0.6
empathic	0.4
empathy	0.8
employable	0.4
empower	0.5
empowered	0.5
empowerment	0.5
emulate	0.2
enablement	0.4
enchant	0.5
enchanted	1
enchanting	0.8
enchantingly	0.9
enchantment	0.5
enchantress	0.5
encomiastic	0.5
encomium	0.5
encore	0.2
encourage	0.8
encouraged	0.7
encouragement	0.7
encouraging	0.6
encouragingly	0.6
endear	0.6
endearingly	0.3
endearment	0.6
endeavor	0.2
endorse	0.4
endorsed	0.4
endorsement	0.3
endorser	0.2
endorsing	0.2
endow	0.2
endowed	0.2
endowment	0.2
endurance	0.2
endure	0.2
energetic	0.6
energetically	0.6
energize	0.3
energizer	0.4
energizing	0.4
energy	0.2
energy-efficient	0.5
energy-saving	0.5
engagingly	0.4
engrossed	0.2
engrossing	0.2
engrossingly	0.2
enhance	0.4
enhanced	0.3
enhancement	0.5
enhances	0.3
enjoy	0.8
enjoyable	0.9
enjoyableness	0.9
enjoyably	0.9
enjoyed	1
enjoyer	0.5
enjoyin	1
enjoying	0.8
enjoyment	0.9
enjoys	0.8
enlighten	0.7
enlightened	0.7
enlightening	1
enlightenment	0.2
enlightens	0.4
enliven	0.6
enlivened	0.6
ennoble	0.9
ennoblement	0.9
enoble	0.8
enormously	0.1
enrapt	0.3
enrapture	0.2
enraptured	0.2
enrich	0.5
enrichment	0.5
enshrine	0.7
ensign	0.2
ensure	0.1
ensuring	0.2
enterprising	0.1
entertained	0.9
entertaining	1
entertainingly	0.7
entertainment	0.5
entertains	0.4
enthral	0.7
enthrall	0.4
enthralled	0.8
enthralling	0.4
enthrone	0.7
enthuse	0.2
enthusiasm	0.8
enthusiast	0.5
enthusiastic	0.8
enthusiastically	0.8
entice	0.5
enticed	0.3
enticing	0.7
entirly	0.3
entitled	0.4
entrance	0.1
